doy,year,tmax,tmin
215,2053,35.0865531,24.70616879
215,2054,36.30101009,23.40407494
215,2055,36.2092457,24.70380152
215,2056,32.71517513,23.73213942
215,2057,37.753891,23.85507797
215,2058,35.01657877,23.8688867
215,2059,34.71139629,23.74125993
215,2060,34.69883742,22.9511167
215,2061,28.74760198,23.8771906
215,2062,36.35411709,24.26867054
215,2063,32.83372905,23.65644104
215,2064,34.95327778,25.31661776
215,2065,30.85046053,23.47174094
215,2066,33.75484362,25.23989924
215,2067,32.07966765,24.90148531
215,2068,35.19544989,27.59718132
215,2069,35.86028671,27.2917614
216,2040,31.0259261,24.774938
216,2041,33.30387672,24.28241628
216,2042,34.97969307,26.12818718
216,2043,36.85194847,23.0855227
216,2044,35.4431579,23.29441778
216,2045,34.58787475,25.78199577
216,2046,39.42318726,23.42266021
216,2047,33.52696855,25.44831789
216,2048,36.3387292,23.85545118
216,2049,36.49541852,25.0472505
216,2050,35.76281086,24.84998047
216,2051,28.77032758,21.28003903
216,2052,33.88898879,25.12183795
216,2053,35.29685174,24.73457603
216,2054,36.84345966,23.09126093
216,2055,35.33146718,25.2207196
216,2056,34.06683663,24.11435855
216,2057,35.14072717,23.64352626
216,2058,36.48180716,24.41879771
216,2059,35.35205892,24.30452538
216,2060,34.58311509,22.89765114
216,2061,35.03415371,23.33169596
216,2062,34.71832128,23.51650132
216,2063,33.37241062,22.80657007
216,2064,35.00073962,23.58703698
216,2065,34.27539926,24.26883615
216,2066,34.59914763,25.26888179
216,2067,34.02958779,23.10121702
216,2068,36.27248619,25.65758897
216,2069,34.14325509,27.64869499
217,2040,34.56332493,24.1923208
217,2041,34.14743916,22.81917957
217,2042,35.56590199,25.33984642
217,2043,38.38095093,22.15234824
217,2044,35.20010968,23.64049686
217,2045,35.5828134,25.39163142
217,2046,39.42098999,24.79423125
217,2047,35.25265049,22.86061656
217,2048,35.17800553,23.75646078
217,2049,37.30186705,24.6668721
217,2050,35.73756302,23.5808791
217,2051,30.02162306,20.99180124
217,2052,34.61092153,24.83281776
217,2053,35.68994367,25.46025188
217,2054,38.8868103,22.85989291
217,2055,35.57172097,25.73388128
217,2056,32.69387231,23.55400838
217,2057,34.19084885,24.19432669
217,2058,34.72865007,24.56485248
217,2059,35.42624649,24.63716285
217,2060,31.47082364,24.70995642
217,2061,35.59645163,23.29662686
217,2062,29.8008374,20.70353798
217,2063,33.37088765,22.89177098
217,2064,30.81407018,23.39901975
217,2065,35.78518237,24.0095481
217,2066,36.41604398,25.21773611
217,2067,33.81725332,24.26610357
217,2068,36.39859186,27.28346062
217,2069,35.22806845,26.76246452
218,2040,35.30270974,22.10507685
218,2041,35.45679613,23.57789347
218,2042,35.38756194,25.08582287
218,2043,38.1355896,22.90369021
218,2044,36.105339,23.36437989
218,2045,35.88106025,25.34943624
218,2046,35.13535049,24.65977029
218,2047,35.86923531,21.95697493
218,2048,32.08071536,24.49495389
218,2049,36.86102271,24.0399738
218,2050,36.7364714,23.75308281
218,2051,29.6665126,22.12803135
218,2052,36.24264869,25.38630375
218,2053,31.18779167,26.15626335
218,2054,39.67660522,23.19943088
218,2055,36.21618902,26.48463249
218,2056,33.172952,21.95255284
218,2057,31.92436751,24.77647672
218,2058,34.28692144,24.86442082
218,2059,34.53682345,24.66332119
218,2060,31.18603973,23.76583725
218,2061,32.65020357,24.3346644
218,2062,31.4725151,19.83566362
218,2063,31.60829752,23.42399835
218,2064,29.6137134,22.49481262
218,2065,37.38938076,23.80516784
218,2066,36.0104759,25.20942493
218,2067,32.14777447,23.754434
218,2068,34.15423827,26.38453484
218,2069,36.51825049,26.01539421
219,2040,35.60245245,18.9689179
